Method,Exp,CASSCF,CASPT2,MRCI
B,15.287,13.249747,13.99,13.91
C,16.417,14.936736,14.93,15.40
N,8.713,11.085416,9.41,9.40
O,158.265,153.234770,145.35,152.52
F,404.141,382.582450,384.7,388.38
Al,112.061,96.805609,106.7,106.96
Si,77.115,72.890160,69.94,73.76
P,15.61,15.339218,11.08,
S,396.055,398.637700,355.94,383.94
Cl,882.352,886.857420,867.69,861.80
Ga,826.19,685.918580,743.28,745.97
Ge,557.134,512.345610,485.56,502.94
As,322.1,354.533940,227.88,
Se,1989.497,1949.627700,1745.74,1900.34
Br,3685.24,3683.618600,3546.46,3540.14
C_hidden,26.998,23.817815,23.95,24.88
N_hidden,19224.464,22910.281000,20436.89,20095.77
O_hidden,68.712,66.991933,62.55,65.85
Si_hidden,146.042,138.280570,133.25,140.43
P_hidden,11361.02,15305.180000,12561.03,
S_hidden,177.585,180.616240,161.92,173.46
Ge_hidden,852.827,809.653330,711.39,814.20
As_hidden,10592.5,14289.540000,11799.71,
Se_hidden,544.86,572.878390,532.84,566.74